Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates
Tsakhur,Definitely endangered,25000.0,Northeast Caucasian,"Azerbaijan, Russian Federation","41.6523,46.9775"
Warao,Definitely endangered,25000.0,Language isolate,"Guyana, Venezuela (Bolivarian Republic of)","8.6027,-61.3806"
Majhi,Severely endangered,24664.0,Indo-European,Nepal,"27.9208,83.5082"
Jone,Definitely endangered,24000.0,Sino-Tibetan,China,"34.5947,103.5653"
Andi,Definitely endangered,23729.0,Northeast Caucasian,Russian Federation,"42.7308,46.2963"
Guambiano,Definitely endangered,23462.0,Barbacoan,Colombia,"2.6138,-76.3906"
Anal,Vulnerable,23000.0,Sino-Tibetan,India,"24.1517,93.9385"
Hawrami,Definitely endangered,23000.0,Indo-European,"Iran (Islamic Republic of), Iraq","35.4259,46.2551"
Juang,Definitely endangered,23000.0,Austroasiatic,India,"21.0742,85.6164"
Tiwa,Definitely endangered,23000.0,Sino-Tibetan,India,"25.7801,92.5927"
Embera (Panama),Vulnerable,22485.0,Chocoan,Panama,"8.1179,-77.7429"
Ediamat,Vulnerable,22025.0,Niger–Congo,Guinea-Bissau,"12.2621,-16.5289"
Mara,Definitely endangered,22000.0,Sino-Tibetan,India,"23.5237,92.9003"
Maring,Vulnerable,22000.0,Sino-Tibetan,India,"24.6769,94.3835"
Polci cluster,Definitely endangered,22000.0,Afro-Asiatic,Nigeria,"9.9742,9.3328"
Sarikoli,Definitely endangered,22000.0,Indo-European,China,"37.9463,75.1272"
Krongo,Definitely endangered,21688.0,Kadu,Sudan,"10.585,29.8883"
Ashtiani,Definitely endangered,21000.0,Indo-European,Iran (Islamic Republic of),"34.4861,51.0562"
Khunsari,Definitely endangered,21000.0,Indo-European,Iran (Islamic Republic of),"32.8795,51.6796"
Semnani,Definitely endangered,21000.0,Indo-European,Iran (Islamic Republic of),"34.8679,53.4924"
Plains Cree,Vulnerable,20933.0,Algic,Canada,"56.3544,-113.8345"
Higher Reservoir Mazatec,Vulnerable,20665.0,Sino-Tibetan,Mexico,"18.158,-96.7045"
Chilchotla Mazatec,Vulnerable,20585.0,Sino-Tibetan,Mexico,"18.2934,-96.7029"
"Zapotec of the Valleys, middle northwest",Definitely endangered,20448.0,Sino-Tibetan,Mexico,"17.05,-96.6333"
Aluo,Definitely endangered,20000.0,Sino-Tibetan,China,"25.9368,102.1839"
Bangni,Vulnerable,20000.0,Sino-Tibetan,India,"28.0331,93.0651"
Bru,Definitely endangered,20000.0,Austroasiatic,Thailand,"15.3174,105.4938"
Cho-ca-nga-ca-kha,Definitely endangered,20000.0,Sino-Tibetan,Bhutan,"27.4107,91.2277"
Crimean Tatar (Dobruja),Severely endangered,20000.0,Turkic,"Bulgaria, Romania","43.9414,28.3062"
Dhimal,Severely endangered,20000.0,Sino-Tibetan,Nepal,"26.6192,87.4635"
Griko (Salento),Severely endangered,20000.0,Indo-European,Italy,"40.1578,18.2208"
Kaiowá Guarani,Vulnerable,20000.0,Tupian,Brazil,"-21.5812,-55.0759"
Karelian (Karelia),Definitely endangered,20000.0,Uralic,"Finland, Russian Federation","63.0474,33.4616"
Khoirao,Vulnerable,20000.0,Sino-Tibetan,India,"25.2198,94.1583"
Manchad,Vulnerable,20000.0,Sino-Tibetan,India,"32.6578,77.5415"
Mariupolitan Greek,Severely endangered,20000.0,Indo-European,Ukraine,"47.1364,37.5444"
Padam,Vulnerable,20000.0,Sino-Tibetan,India,"28.2463,95.3668"
Pemon (Venezuela),Vulnerable,20000.0,Cariban,"Guyana, Venezuela (Bolivarian Republic of)","5.1347,-61.853"
Tacenwit,Vulnerable,20000.0,Afro-Asiatic,Algeria,"36.5703,2.2892"
Tangwang,Definitely endangered,20000.0,Sino-Tibetan,China,"35.7643,102.8979"
Western Neo-Aramaic,Definitely endangered,20000.0,Afro-Asiatic,Syrian Arab Republic,"33.8339,36.5405"
Yaghnobi,Definitely endangered,20000.0,Indo-European,Tajikistan,"38.5632,68.4475"
Yaw,Definitely endangered,20000.0,Sino-Tibetan,Myanmar,"21.6,94.8333"
Yeyi,Definitely endangered,20000.0,Niger–Congo,Botswana,"-19.4562,23.2031"
Boro,Definitely endangered,19878.0,Afro-Asiatic,,"10.3581,35.0024"
Sorbian,Definitely endangered,19500.0,Indo-European,Germany,"51.5001,14.4744"
Biete,Definitely endangered,19000.0,Sino-Tibetan,India,"25.6514,93.2409"
Hrangkhol,Vulnerable,19000.0,Sino-Tibetan,India,"24.1467,92.3071"
Terena,Severely endangered,19000.0,Arawakan,Brazil,"-20.2841,-55.4638"
Kati,Definitely endangered,18700.0,Indo-European,"Pakistan, Afghanistan","35.3845,71.3177"
Kulung,Vulnerable,18686.0,Sino-Tibetan,Nepal,"27.518,86.9375"
Kaingang,Definitely endangered,18500.0,Macro-Gê,Brazil,"-28.1495,-52.4707"
Lowland Mazatec,Vulnerable,18389.0,Oto-Manguean,Mexico,"18.0801,-96.5236"
Vafsi,Definitely endangered,18000.0,Indo-European,Iran (Islamic Republic of),"34.0867,49.8861"
Bassari,Vulnerable,17910.0,Niger–Congo,Senegal,"12.4419,-12.6617"
Bayot,Vulnerable,17150.0,Niger–Congo,Senegal,"12.4218,-16.4149"
Pochuri,Vulnerable,17000.0,Sino-Tibetan,India,"25.6712,94.779"
Tamahaq (Libya),Definitely endangered,17000.0,Afro-Asiatic,Libyan Arab Jamahiriya,"24.9611,10.1733"
Swampy Cree,Vulnerable,16685.0,Algic,Canada,"53.9849,-97.7626"
Koraga,Critically endangered,16665.0,Dravidian,India,"11.6952,75.6738"
Oyda,Vulnerable,16597.0,Afro-Asiatic,Ethiopia,"5.9438,36.6503"
Pangvali,Critically endangered,16285.0,Indo-European,India,"33.4589,76.9152"
Shipibo-Conibo,Definitely endangered,16085.0,Panoan,Peru,"-8.4289,-74.6411"
Amba,Vulnerable,16000.0,Niger–Congo,Uganda,"0.6737,30.198"
Tsez,Definitely endangered,15356.0,Northeast Caucasian,Russian Federation,"42.2376,45.8734"
Bonan,Definitely endangered,15000.0,Mongolic,China,"36.089,102.843"
Chrau,Definitely endangered,15000.0,Austroasiatic,Viet Nam,"10.5634,107.1496"
Dari,Definitely endangered,15000.0,Indo-European,Iran (Islamic Republic of),"31.8402,54.1625"
Dzala,Vulnerable,15000.0,Sino-Tibetan,Bhutan,"27.7078,91.3623"
Ersu,Definitely endangered,15000.0,Sino-Tibetan,China,"28.7778,102.1277"
Gangte,Definitely endangered,15000.0,Sino-Tibetan,India,"24.1968,93.587"
Gurdu-Mbaaru,Severely endangered,15000.0,Afro-Asiatic,Nigeria,"9.7415,10.4534"
Ha-lung Tibetan,Definitely endangered,15000.0,Sino-Tibetan,Nepal,"27.6831,87.8256"
Hlersu,Vulnerable,15000.0,Sino-Tibetan,China,"24.3789,102.046"
Juk,Definitely endangered,15000.0,Sino-Tibetan,Lao People's Democratic Republic,"15.3333,106.85"
Kwama,Vulnerable,15000.0,Nilo-Saharan,Ethiopia,"9.5465,34.2059"
Laemae,Severely endangered,15000.0,Sino-Tibetan,China,"26.4179,98.7758"
Lavua,Definitely endangered,15000.0,Austroasiatic,Thailand,"18.4483,98.1848"
Macushi (Brazil),Vulnerable,15000.0,Cariban,Brazil,"3.7765,-61.1279"
Nahali,Definitely endangered,15000.0,Indo-European,India,"21.4735,74.0258"
Naluo,Vulnerable,15000.0,Sino-Tibetan,China,"26.5895,100.8506"
Nyoe,Definitely endangered,15000.0,Sino-Tibetan,Thailand,"14.9102,104.6049"
O'odham (Akimel),Definitely endangered,15000.0,Uto-Aztecan,United States of America,"33.059,-112.0479"
O'odham (Tohono),Definitely endangered,15000.0,Uto-Aztecan,United States of America,"31.9186,-111.8798"
Paiwan,Vulnerable,15000.0,Austronesian,China,"22.4313,120.7809"
Rao,Definitely endangered,15000.0,Kra–Dai,China,"25.871,107.0476"
Semai,Severely endangered,15000.0,Sino-Tibetan,Malaysia,"4.3039,101.445"
Shatt,Severely endangered,15000.0,Nilo-Saharan,Sudan,"10.8117,29.7235"
Siwi,Definitely endangered,15000.0,Afro-Asiatic,Egypt,"29.1905,25.5322"
Tagargrent,Severely endangered,15000.0,Afro-Asiatic,Algeria,"30.9587,4.0209"
Tayurayt,Vulnerable,15000.0,Sino-Tibetan,Algeria,"36.5648,1.9061"
Totoli,Vulnerable,15000.0,Austronesian,Indonesia,"0.8953,120.2838"
Aruaco,Vulnerable,14799.0,Chibchan,Colombia,"10.0986,-73.5424"
Yakkha,Critically endangered,14648.0,Sino-Tibetan,Nepal,"27.1908,87.3358"
Kuruba,Critically endangered,14613.0,Dravidian,India,"11.4369,76.3549"
Tuamotuan,Definitely endangered,14400.0,Austronesian,French Polynesia (France),"-14.9354,-147.7455"
Katla,Definitely endangered,14208.0,Niger–Congo,Sudan,"11.7329,29.3939"
Garífuna (Belize),Vulnerable,14061.0,Arawakan,Belize,"17.1833,-88.5833"
Thulung,Definitely endangered,14034.0,Sino-Tibetan,Nepal,"27.4534,86.6423"
Bawm,Definitely endangered,14000.0,Sino-Tibetan,"Bangladesh, India","22.1874,92.6477"
Guajajara,Vulnerable,14000.0,Tupian,Brazil,"-4.8282,-46.8017"
Niuean,Definitely endangered,14000.0,Austronesian,Niue,"-19.0491,-169.8706"
Uhunduni,Vulnerable,14000.0,Trans–New Guinea,Indonesia,"-4.2054,137.031"
Gusilay,Vulnerable,13950.0,Niger–Congo,Senegal,"12.7019,-16.4382"
Xavante,Vulnerable,13303.0,Macro-Ge,Brazil,"-14.4832,-53.5305"
Dondo,Vulnerable,13000.0,Austronesian,Indonesia,"0.747,120.4266"
Khampti,Vulnerable,13000.0,Sino-Tibetan,India,"27.8827,96.5093"
Nalu,Definitely endangered,13000.0,Niger–Congo,Guinea,"10.9523,-14.7629"
Tagoi,Severely endangered,13000.0,Niger–Congo,Sudan,"10.8252,30.1657"
Karko,Definitely endangered,12986.0,Nilo-Saharan,Sudan,"11.964,29.4186"
San Mateo del Mar Huave,Vulnerable,12667.0,Language isolate,Mexico,"16.2,-94.9833"
Q'eqchi' (Belize),Vulnerable,12366.0,Mayan,Belize,"16.8107,-88.3999"
Kadaru,Definitely endangered,12360.0,Nilo-Saharan,Sudan,"12.1789,30.2398"
Mazatlán Mazatec,Vulnerable,12340.0,Oto-Manguean,Mexico,"18.033,-96.8999"
Badiaranke,Severely endangered,12205.0,Niger–Congo,Guinea,"12.4043,-13.5736"
Alune,Vulnerable,12000.0,Austronesian,Indonesia,"-3.0637,128.3752"
Bangani,Critically endangered,12000.0,Indo-European,India,"29.8692,79.0686"
Chamalal,Definitely endangered,12000.0,Northeast Caucasian,Russian Federation,"42.5712,46.0739"
Chru,Vulnerable,12000.0,Austronesian,Viet Nam,"11.4666,109.05"
Hill Miri,Definitely endangered,12000.0,Sino-Tibetan,India,"27.7078,94.0374"
Jinuo,Definitely endangered,12000.0,Sino-Tibetan,China,"21.4758,101.3111"
Muya,Vulnerable,12000.0,Sino-Tibetan,China,"30.2593,101.7497"
Samei,Severely endangered,12000.0,Sino-Tibetan,China,"25.0756,103.0133"
Tajio,Vulnerable,12000.0,Austronesian,Indonesia,"-0.0954,120.0173"
Tobada',Extinct,12000.0,Austronesian,Indonesia,"-2.019,119.4708"
Yurt Tatar,Definitely endangered,12000.0,Sino-Tibetan,Russian Federation,"46.3943,48.3288"
Yaqui (Mexico),Vulnerable,11806.0,Uto-Aztecan,Mexico,"27.6436,-110.296"
Ch'orti' (Guatemala),Definitely endangered,11734.0,Mayan,Guatemala,"14.968,-89.2905"
Filomeno Mata Totonac,Vulnerable,11710.0,Totozoquean,Mexico,"20.198,-97.7022"
Northern Totonac,Critically endangered,11529.0,Sino-Tibetan,Mexico,"20.2741,-97.955"
Komo,Definitely endangered,11500.0,Nilo-Saharan,"Ethiopia, Sudan","9.0804,34.0905"
Tuwuli,Vulnerable,11400.0,Niger–Congo,Ghana,"7.0572,0.3845"
Poqomam,Definitely endangered,11273.0,Sino-Tibetan,Guatemala,"14.6455,-89.7274"
Idu,Definitely endangered,11101.0,Sino-Tibetan,"China, India","28.6496,95.8419"
Kari'ña (Venezuela),Severely endangered,11000.0,Cariban,Venezuela (Bolivarian Republic of),"8.4941,-64.0942"
Machiguenga,Definitely endangered,11000.0,Arawakan,Peru,"-11.8888,-72.9052"
Piaroa (Venezuela),Vulnerable,11000.0,Piaroa–Saliban,Venezuela (Bolivarian Republic of),"4.5435,-66.7089"
Tuvaluan,Definitely endangered,11000.0,Austronesian,Tuvalu,"-8.5049,179.187"
Waunana (Colombia),Vulnerable,11000.0,Chocoan,Colombia,"4.2806,-77.0581"
Noon,Vulnerable,10925.0,Niger–Congo,Senegal,"14.8173,-16.5234"
Sampang,Vulnerable,10810.0,Sino-Tibetan,Nepal,"27.257,86.9444"
Central Alaskan Yupik (2),Vulnerable,10400.0,Eskimo–Aleut,United States of America,"61.4387,-160.4882"
Central Alaskan Yupik (Nuniak Island),Vulnerable,10400.0,Eskimo–Aleut,United States of America,"59.8889,-166.289"
Bukiyip,Vulnerable,10304.0,Torricelli,Papua New Guinea,"-3.4256,143.0886"
Saparua,Definitely endangered,10216.0,Austronesian,Indonesia,"-3.5757,128.6464"
Darai,Severely endangered,10210.0,Indo-European,Nepal,"27.9264,84.331"
Bandial,Vulnerable,10125.0,Niger–Congo,Senegal,"12.5317,-16.1553"
Bongo,Definitely endangered,10084.0,Nilo-Saharan,Sudan,"6.1405,31.7999"
Northwestern Tarahumara,Vulnerable,10031.0,Uto-Aztecan,Mexico,"27.9169,-107.0552"
Algherese Catalan,Definitely endangered,10000.0,Indo-European,Italy,"40.5638,8.3276"
Aragonese,Definitely endangered,10000.0,Indo-European,Spain,"42.2935,-0.4394"
Baima,Vulnerable,10000.0,Sino-Tibetan,China,"33.1531,103.8696"
Bukharic,Definitely endangered,10000.0,Indo-European,Uzbekistan,"39.8043,64.4224"
Bunun,Vulnerable,10000.0,Austronesian,China,"23.3624,121.1077"
Burunge,Vulnerable,10000.0,Afro-Asiatic,United Republic of Tanzania,"-4.7297,35.7769"
Chayahuita,Definitely endangered,10000.0,Cahuapanan,Peru,"-5.3425,-76.6955"
Cherokee (Oklahoma),Definitely endangered,10000.0,Iroquoian,United States of America,"36.7544,-98.3569"
Dalecarlian,Definitely endangered,10000.0,Indo-European,Sweden,"61.2385,14.0295"
"Huitoto (Colombia, Peru)",Definitely endangered,10000.0,Bora–Witoto,"Colombia, Peru","-3.0308,-71.8066"
Hulaula (Israel),Severely endangered,10000.0,Afro-Asiatic,Israel,"32.2128,34.9118"
Karang,Vulnerable,10000.0,Nilo-Saharan,Chad,"8.3093,15.3588"
Karelian (Tver),Definitely endangered,10000.0,Uralic,Russian Federation,"58.1533,36.101"
Karone,Vulnerable,10000.0,Niger–Congo,Senegal,"12.7769,-16.7733"
Kryz,Severely endangered,10000.0,Northeast Caucasian,Azerbaijan,"41.1455,48.164"
"Kurripako (Colombia, Venezuela)",Definitely endangered,10000.0,Arawakan,"Colombia, Venezuela (Bolivarian Republic of)","2.3723,-67.5659"
Kurtöp,Vulnerable,10000.0,Sino-Tibetan,Bhutan,"27.7127,90.9667"
Lamgang,Critically endangered,10000.0,Sino-Tibetan,India,"24.2569,94.0759"
Miqie,Definitely endangered,10000.0,Sino-Tibetan,China,"26.9053,100.8506"
Mojo,Definitely endangered,10000.0,Arawakan,Bolivia (Plurinational State of),"-14.966,-65.1708"
Muot,Critically endangered,10000.0,Austroasiatic,India,"8.0932,93.4963"
Naiki,Critically endangered,10000.0,Dravidian,India,"19.8287,78.2281"
Ñandeva Guarani,Vulnerable,10000.0,Tupian,Brazil,"-22.0652,-54.7558"
Ngwaba,Severely endangered,10000.0,Afro-Asiatic,Nigeria,"9.9904,12.81"
North Frisian,Severely endangered,10000.0,Indo-European,Germany,"54.7341,8.7478"
Northern Khanty,Definitely endangered,10000.0,Uralic,Russian Federation,"63.7047,66.676"
Nyah Kur,Definitely endangered,10000.0,Austroasiatic,Thailand,"15.6587,101.5068"
Nyenkha,Vulnerable,10000.0,Sino-Tibetan,Bhutan,"27.4595,90.4119"
Orang Hulu,Definitely endangered,10000.0,Austronesian,Malaysia,"1.8871,103.984"
Otoro,Severely endangered,10000.0,Niger–Congo,Sudan,"11.1864,30.6353"
Solon,Definitely endangered,10000.0,Tungusic,China,"48.166,119.4873"
Southern Tujia,Severely endangered,10000.0,Sino-Tibetan,China,"28.258,109.9398"
Taba,Vulnerable,10000.0,Austronesian,Indonesia,"0.0659,127.4084"
Talu,Vulnerable,10000.0,Sino-Tibetan,China,"26.5623,102.8506"
Tamazight (Tunisia),Severely endangered,10000.0,Afro-Asiatic,Tunisia,"36.0313,9.8767"
Tayal,Vulnerable,10000.0,Austronesian,China,"24.5458,121.3591"
Temein,Severely endangered,10000.0,Nilo-Saharan,Sudan,"11.8377,29.4625"
Temiar,Definitely endangered,10000.0,Austroasiatic,Malaysia,"4.9493,101.4113"
Trukhmen,Definitely endangered,10000.0,Sino-Tibetan,"Russian Federation, Turkmenistan","44.4886,44.5385"
Vidunda,Vulnerable,10000.0,Niger–Congo,United Republic of Tanzania,"-6.8664,37.304"
Kogui,Vulnerable,9911.0,Chibchan,Colombia,"10.8548,-74.0258"
Paloor,Vulnerable,9680.0,Niger–Congo,Senegal,"14.7801,-16.8035"
Awakatek (Guatemala),Vulnerable,9613.0,Sino-Tibetan,Guatemala,"15.3429,-91.312"
Choctaw (Louisiana),Vulnerable,9500.0,Muskogean,United States of America,"31.6822,-92.1252"
Choctaw (Mississipi),Vulnerable,9500.0,Muskogean,United States of America,"32.7713,-89.1163"
Choctaw (Oklahoma),Vulnerable,9500.0,Muskogean,United States of America,"34.1472,-94.81"
Gawar-Bati,Definitely endangered,9500.0,Indo-European,"Pakistan, Afghanistan","35.158,71.4083"
Taruang,Vulnerable,9332.0,Sino-Tibetan,"China, India, Myanmar","28.12,95.88"
Khaling,Definitely endangered,9288.0,Sino-Tibetan,Nepal,"27.5781,86.7163"
Western Tarahumara,Vulnerable,9196.0,Sino-Tibetan,Mexico,"27.3361,-108.5007"
Nunavimmiutitut,Vulnerable,9105.0,Eskimo–Aleut,Canada,"58.1665,-68.3605"
Woods Cree,Vulnerable,9095.0,Algic,Canada,"55.1711,-102.9061"
Phula (Viet Nam),Definitely endangered,9046.0,Sino-Tibetan,Viet Nam,"22.7833,105.4666"
Dol-po,Definitely endangered,9000.0,Sino-Tibetan,Nepal,"29.2193,83.0676"
Helong,Severely endangered,9000.0,Austronesian,Indonesia,"-10.1905,123.5247"
Lisela,Vulnerable,9000.0,Austronesian,Indonesia,"-3.2392,127.0239"
Motuo Menba,Definitely endangered,9000.0,Sino-Tibetan,"China, India","28.664,94.0347"
Panamahka,Vulnerable,9000.0,Misumalpan,Nicaragua,"14.2856,-84.5947"
Zuni,Vulnerable,9000.0,Language isolate,United States of America,"35.082,-108.76"
Mopán (Belize),Severely endangered,8980.0,Mayan,Belize,"16.2449,-88.8654"
Tulishi,Severely endangered,8628.0,Kadu,Sudan,"11.5984,29.0917"
Central Cuicatec,Vulnerable,8621.0,Oto-Manguean,Mexico,"17.8,-96.961"
Ts'amay,Definitely endangered,8621.0,Afro-Asiatic,Ethiopia,"5.4382,37.2463"
Phalura,Definitely endangered,8600.0,Indo-European,Pakistan,"35.7264,71.7434"
Northern Popoloc,Vulnerable,8597.0,Sino-Tibetan,Mexico,"18.6818,-97.658"
Ixcatlán Mazatec,Vulnerable,8593.0,Oto-Manguean,Mexico,"18.1447,-96.4855"
Patla-Chicontla Totonac,Severely endangered,8590.0,Totozoquean,Mexico,"20.1644,-97.6927"
Toram,Severely endangered,8456.0,Afro-Asiatic,Chad,"11.1581,19.6023"
Northwestern Tlapanec,Vulnerable,8409.0,Sino-Tibetan,Mexico,"17.5595,-98.9332"
Dene,Vulnerable,8195.0,Dené–Yeniseian,Canada,"56.4807,-109.4127"
Micmac (Massachusetts),Definitely endangered,8145.0,Algic,United States of America,"42.3589,-71.0578"
Argobba,Critically endangered,8000.0,Afro-Asiatic,Ethiopia,"10.5958,39.9792"
Austral dialects,Definitely endangered,8000.0,Austronesian,French Polynesia (France),"-23.3775,-149.4909"
Belanda Bor,Definitely endangered,8000.0,Nilo-Saharan,Sudan,"6.4954,27.7404"
Feroge,Vulnerable,8000.0,Ubangian,Sudan,"8.5049,25.7189"
Hachijō,Definitely endangered,8000.0,Sino-Tibetan,Japan,"33.11,139.7891"
Inga,Severely endangered,8000.0,Quechua,Colombia,"1.1658,-77.0011"
Kanga,Severely endangered,8000.0,Kadu,Sudan,"10.844,29.4708"
Lajia,Definitely endangered,8000.0,Kra–Dai,China,"23.7439,110.0526"
Lakha,Definitely endangered,8000.0,Sino-Tibetan,Bhutan,"27.5898,90.3735"
Mbya Guarani (Paraguay),Definitely endangered,8000.0,Tupian,Paraguay,"-26.5099,-55.2832"
Mundurukú,Vulnerable,8000.0,Tupian,Brazil,"-8.1027,-57.3486"
Ojibwe,Severely endangered,8000.0,Algic,United States of America,"46.0706,-93.6677"
Quichua (Salasaca),Definitely endangered,8000.0,Quechuan,Ecuador,"-1.3511,-78.6511"
Rongpo,Vulnerable,8000.0,Sino-Tibetan,India,"30.7229,79.7387"
Sanyi,Severely endangered,8000.0,Sino-Tibetan,China,"24.9262,102.5134"
Temuan,Severely endangered,8000.0,Austronesian,Malaysia,"3.3709,101.984"
Tingal,Definitely endangered,8000.0,Niger–Congo,Sudan,"12.238,31.1215"
Wampis,Vulnerable,8000.0,Jivaroan,Peru,"-3.4476,-77.7941"
Wunai Bunu,Definitely endangered,8000.0,Hmong–Mien,China,"24.4146,107.8378"
Yanesha,Severely endangered,8000.0,Arawakan,Peru,"-10.3743,-75.2343"
Mam (Mexico),Severely endangered,7977.0,Sino-Tibetan,Mexico,"17.3661,-93.5334"
Pana,Definitely endangered,7800.0,Niger–Congo,Burkina Faso,"13.165,-3.4277"
Macushi (Guyana),Vulnerable,7750.0,Cariban,Guyana,"3.6888,-59.4799"
Chukchi,Severely endangered,7742.0,Chukotko-Kamchatkan,Russian Federation,"67.6248,176.1767"
Cabécar,Vulnerable,7622.0,Sino-Tibetan,Costa Rica,"9.9012,-83.6844"
Awa Cuaiquer,Critically endangered,7500.0,Barbacoan,Colombia,"1.4939,-78.5742"
Lishana Deni (Israel),Severely endangered,7500.0,Afro-Asiatic,Israel,"31.7748,35.1013"
Central Pame,Vulnerable,7399.0,Oto-Manguean,Mexico,"21.9208,-99.3741"
Puinave,Definitely endangered,7377.0,unclassified,"Colombia, Venezuela (Bolivarian Republic of)","4.434,-68.1591"
Mebengokre,Vulnerable,7266.0,Macro-Je,Brazil,"-6.5569,-52.4707"
Tunebo,Definitely endangered,7231.0,Chibchan,"Colombia, Venezuela (Bolivarian Republic of)","6.4463,-72.0483"
Quechua of Peruvian Amazonia,Vulnerable,7200.0,Quechuan,Peru,"-2.3723,-74.1137"
Asur,Definitely endangered,7000.0,Austroasiatic,India,"22.4719,84.9023"
Bashkardi,Definitely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"28.5169,57.7551"
Burji,Vulnerable,7000.0,Afro-Asiatic,Kenya,"2.1857,37.9248"
Choyi,Definitely endangered,7000.0,Sino-Tibetan,China,"30.8519,99.6659"
Gazi,Definitely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"32.8036,51.6211"
Guichong,Vulnerable,7000.0,Sino-Tibetan,China,"30.8148,101.7021"
Karagash,Definitely endangered,7000.0,Sino-Tibetan,Russian Federation,"47.2643,47.2412"
Natanzi,Severely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"33.452,51.3006"
Nayini,Severely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"32.8519,53.1573"
Parya,Severely endangered,7000.0,Indo-European,"Uzbekistan, Tajikistan, Afghanistan","38.5094,68.0932"
Segeju,Severely endangered,7000.0,Niger–Congo,United Republic of Tanzania,"-4.8173,39.0783"
Sivandi,Definitely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"29.9168,51.5945"
Soi,Definitely endangered,7000.0,Indo-European,Iran (Islamic Republic of),"31.6533,55.6787"
Tucano (Brazil),Vulnerable,7000.0,Tucanoan,Brazil,"0.1757,-67.2363"
Wapishana (Guyana),Vulnerable,7000.0,Arawakan,Guyana,"2.3065,-59.6997"
Yulu,Vulnerable,7000.0,Nilo-Saharan,"Central African Republic, Democratic Republic of the Congo, Sudan","8.3854,24.1754"
