Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Mt. Iraya Agta,Definitely endangered,150.0,Austronesian,Philippines,"13.459,123.5467",13.459,123.5467
Ocaina (Peru),Critically endangered,150.0,Bora–Huitoto,Peru,"-2.8552,-71.9824",-2.8552,-71.9824
Papapana,Definitely endangered,150.0,Austronesian,Papua New Guinea,"-5.8974,155.2505",-5.8974,155.2505
Quechan,Definitely endangered,150.0,Yuman,United States of America,"32.7279,-114.7255",32.7279,-114.7255
Southern Ayta,Critically endangered,150.0,Austronesian,Philippines,"13.027,124.1549",13.027,124.1549
Tundra Yukagir,Critically endangered,150.0,Yukaghir,Russian Federation,"69.1654,154.4732",69.1654,154.4732
Tupari,Definitely endangered,150.0,Tupian,Brazil,"-12.0876,-62.4792",-12.0876,-62.4792
Wari,Definitely endangered,150.0,Lakes Plain,Indonesia,"-3.2173,138.4497",-3.2173,138.4497
Yavapai,Severely endangered,150.0,Yuman–Cochimí,United States of America,"34.5638,-112.4453",34.5638,-112.4453
Mlabri,Definitely endangered,149.0,Austroasiatic,"Lao People's Democratic Republic, Thailand","18.4796,101.0961",18.4796,101.0961
Negidal,Critically endangered,147.0,Tungusic,Russian Federation,"52.942,139.779",52.942,139.779
Suarmin,Definitely endangered,145.0,Sepik?,Papua New Guinea,"-5.0526,141.9818",-5.0526,141.9818
Kickapoo (Mexico),Critically endangered,144.0,Algic,Mexico,"28,-101.75",28,-101.75
Wab,Vulnerable,142.0,Austronesian,Papua New Guinea,"-5.6296,146.39",-5.6296,146.39
Motocintlec,Critically endangered,141.0,Mayan,Mexico,"15.3709,-92.2484",15.3709,-92.2484
Dengalu,Definitely endangered,140.0,Austronesian,Papua New Guinea,"-7.0572,146.3598",-7.0572,146.3598
Dimbong,Critically endangered,140.0,Niger–Congo,Cameroon,"4.7078,10.6567",4.7078,10.6567
Kunbarlang,Severely endangered,140.0,Arnhem,Australia,"-12.0661,134.0661",-12.0661,134.0661
Machineri (Bolivia),Severely endangered,140.0,Arawakan,Bolivia (Plurinational State of),"-11.146,-69.0161",-11.146,-69.0161
Taworta,Vulnerable,140.0,Lakes Plain,Indonesia,"-3.2776,138.7902",-3.2776,138.7902
ǂHoa,Critically endangered,140.0,Kxʼa,Botswana,"-24.1668,24.4885",-24.1668,24.4885
Handuri,Critically endangered,138.0,Indo-European,India,"31.0011,77.3107",31.0011,77.3107
Suruahá,Vulnerable,136.0,Arawan,Brazil,"-6.8828,-66.9726",-6.8828,-66.9726
Kutenai,Severely endangered,135.0,Language isolate,"Canada, United States of America","49.6467,-115.7372",49.6467,-115.7372
Nauna,Vulnerable,130.0,Austronesian,Papua New Guinea,"-2.2159,148.1986",-2.2159,148.1986
Okanagan,Definitely endangered,130.0,Salishan,"Canada, United States of America","50.3059,-119.3228",50.3059,-119.3228
Piu,Definitely endangered,130.0,Austronesian,Papua New Guinea,"-6.9591,146.4257",-6.9591,146.4257
Ocaina (Colombia),Severely endangered,126.0,Bora–Huitoto,Colombia,"-2,-71.5",-2,-71.5
Yuki,Severely endangered,125.0,Tupian,Bolivia (Plurinational State of),"-16.2463,-65.0061",-16.2463,-65.0061
Asurini do Xingu,Vulnerable,124.0,Tupian,Brazil,"-3.9095,-52.4707",-3.9095,-52.4707
Nahukwa,Definitely endangered,124.0,Cariban,Brazil,"-12.1043,-53.2944",-12.1043,-53.2944
Aputai,Critically endangered,120.0,Austronesian,Indonesia,"-7.6511,126.4086",-7.6511,126.4086
Budibud,Vulnerable,120.0,Austronesian,Papua New Guinea,"-9.2973,153.6891",-9.2973,153.6891
Capanahua,Severely endangered,120.0,Panoan,Peru,"-6.5991,-74.2895",-6.5991,-74.2895
Dâw,Vulnerable,120.0,Nadahup,Brazil,"0.2197,-68.7744",0.2197,-68.7744
Ili Turk,Severely endangered,120.0,Turkic,China,"44.0244,81.145",44.0244,81.145
Lamu,Critically endangered,120.0,Sino-Tibetan,China,"26.2434,100.8654",26.2434,100.8654
Obokuitai,Vulnerable,120.0,Lakes Plain,Indonesia,"-2.9046,138.0816",-2.9046,138.0816
Polonomombauk,Definitely endangered,120.0,Austronesian,Vanuatu,"-15.4907,167.0814",-15.4907,167.0814
Samre,Critically endangered,120.0,Austroasiatic,Cambodia,"12.1166,103.0833",12.1166,103.0833
Tutuba,Definitely endangered,120.0,Austronesian,Vanuatu,"-15.5727,167.275",-15.5727,167.275
Northern Tutchone,Definitely endangered,115.0,Dené–Yeniseian,Canada,"62.8255,-136.5838",62.8255,-136.5838
Dubu,Vulnerable,110.0,Pauwasi,Indonesia,"-3.5134,140.8612",-3.5134,140.8612
Haisla,Critically endangered,110.0,Wakashan,Canada,"53.9745,-128.6443",53.9745,-128.6443
Heiltsuk,Critically endangered,105.0,Wakashan,Canada,"52.1591,-128.1546",52.1591,-128.1546
Kwegu,Critically endangered,103.0,Nilo-Saharan,Ethiopia,"5.4191,36.0791",5.4191,36.0791
Adnyamathanha,Definitely endangered,100.0,Pama–Nyungan,Australia,"-30.6,138.6035",-30.6,138.6035
Ainbai,Severely endangered,100.0,Border,Papua New Guinea,"-3.1,141.2",-3.1,141.2
Arem,Severely endangered,100.0,Austroasiatic,"Lao People's Democratic Republic, Viet Nam","18.1771,105.3369",18.1771,105.3369
Banawá Yafi,Vulnerable,100.0,Arawan,Brazil,"-6.6427,-64.5996",-6.6427,-64.5996
Bara (Colombia),Critically endangered,100.0,Tucanoan,Colombia,"0.05,-70.1733",0.05,-70.1733
Bikaru,Severely endangered,100.0,Engan,Papua New Guinea,"-4.8,143",-4.8,143
Boor,Critically endangered,100.0,Afro-Asiatic,Chad,"10.2149,17.3721",10.2149,17.3721
Burate,Severely endangered,100.0,East Geelvink Bay?,Indonesia,"-2.7811,135.9915",-2.7811,135.9915
Callahuaya,Critically endangered,100.0,Mixed,Bolivia (Plurinational State of),"-15.1357,-69.1699",-15.1357,-69.1699
Comanche,Severely endangered,100.0,Uto-Aztecan,United States of America,"34.6086,-98.3904",34.6086,-98.3904
Dabra,Vulnerable,100.0,Sino-Tibetan,Indonesia,"-3.4092,139.0209",-3.4092,139.0209
Djinang,Definitely endangered,100.0,Pama–Nyungan,Australia,"-12.3507,135.1098",-12.3507,135.1098
Dulbu,Critically endangered,100.0,Niger–Congo,Nigeria,"9.985,10.0579",9.985,10.0579
Ghomara,Critically endangered,100.0,Afro-Asiatic,Morocco,"35.0108,-5.5151",35.0108,-5.5151
Itelmen,Critically endangered,100.0,Chukotko-Kamchatkan,Russian Federation,"57.1496,156.9012",57.1496,156.9012
Jebero,Critically endangered,100.0,Cahuapanan,Peru,"-5.3097,-75.9814",-5.3097,-75.9814
Jilbe,Critically endangered,100.0,Afro-Asiatic,Nigeria,"11.749,14.5458",11.749,14.5458
Kalamo,Severely endangered,100.0,Trans–New Guinea,Papua New Guinea,"-6.7,142.5",-6.7,142.5
Kanowit,Severely endangered,100.0,Austronesian,Malaysia,"2.0652,112.1489",2.0652,112.1489
Karas,Severely endangered,100.0,Trans–New Guinea,Indonesia,"-3.4585,132.6599",-3.4585,132.6599
Kiong,Critically endangered,100.0,Niger–Congo,Nigeria,"5.2906,8.3523",5.2906,8.3523
Kofei,Severely endangered,100.0,East Geelvink Bay?,Indonesia,"-2.3833,136.7907",-2.3833,136.7907
Likum,Definitely endangered,100.0,Austronesian,Papua New Guinea,"-2.1651,146.6921",-2.1651,146.6921
Maricopa,Severely endangered,100.0,Yuman,United States of America,"33.3772,-112.1676",33.3772,-112.1676
Mohave (Arizona),Severely endangered,100.0,Yuman,United States of America,"34.0231,-114.5045",34.0231,-114.5045
Mohave (California),Severely endangered,100.0,Yuman,United States of America,"34.6905,-114.598",34.6905,-114.598
Molo,Critically endangered,100.0,Nilo-Saharan,Sudan,"10.898,34.2773",10.898,34.2773
Mulao,Severely endangered,100.0,Sino-Tibetan,China,"26.5851,107.9524",26.5851,107.9524
Mvanip,Critically endangered,100.0,Niger–Congo,Nigeria,"6.7027,11.2225",6.7027,11.2225
Nafi,Severely endangered,100.0,Austronesian,Papua New Guinea,"-6.3999,146.802",-6.3999,146.802
Nemadi,Critically endangered,100.0,Sino-Tibetan,Mauritania,"18.4118,-9.4482",18.4118,-9.4482
Ninam (Venezuela),Vulnerable,100.0,Yanomam,Venezuela (Bolivarian Republic of),"4.5435,-63.5668",4.5435,-63.5668
Omagua (Peru),Critically endangered,100.0,Tupian,Peru,"-4.0724,-73.103",-4.0724,-73.103
Oroch,Critically endangered,100.0,Tungusic,Russian Federation,"49.1781,139.7625",49.1781,139.7625
Oroha,Severely endangered,100.0,Austronesian,Solomon Islands,"-9.7686,161.51",-9.7686,161.51
Pauwi,Vulnerable,100.0,Lower Mamberamo,Indonesia,"-1.8151,137.8193",-1.8151,137.8193
Piame,Severely endangered,100.0,Sepik,Papua New Guinea,"-4.9,142.85",-4.9,142.85
Pyu,Severely endangered,100.0,Arai–Samaia ?,Indonesia,"-4.5,140.9",-4.5,140.9
Ruga,Critically endangered,100.0,Sino-Tibetan,India,"25.2844,90.4614",25.2844,90.4614
Sahaptin,Severely endangered,100.0,Plateau Penutian,United States of America,"44.7712,-121.2871",44.7712,-121.2871
Samatao,Critically endangered,100.0,Sino-Tibetan,China,"24.9359,102.7935",24.9359,102.7935
Seneca (United States of America),Severely endangered,100.0,Iroquoian,United States of America,"42.3291,-78.868",42.3291,-78.868
Senggi,Vulnerable,100.0,Border,Indonesia,"-3.4339,140.7685",-3.4339,140.7685
Shawnee,Severely endangered,100.0,Algic,United States of America,"35.359,-96.9298",35.359,-96.9298
Shiwiar,Severely endangered,100.0,Jivaroan,Ecuador,"-2.2186,-76.8164",-2.2186,-76.8164
Shompen,Critically endangered,100.0,Niger–Congo,India,"7.0245,93.8232",7.0245,93.8232
Soo,Critically endangered,100.0,Nilo-Saharan,Uganda,"2.161,34.5986",2.161,34.5986
Tai Nora,Critically endangered,100.0,Sino-Tibetan,India,"26.8485,94.5648",26.8485,94.5648
Tai Rong,Critically endangered,100.0,Sino-Tibetan,India,"26.9024,94.757",26.9024,94.757
Tangam,Critically endangered,100.0,Sino-Tibetan,India,"29.1473,94.5538",29.1473,94.5538
Tariana (Brazil),Critically endangered,100.0,Arawakan,Brazil,"0.9228,-67.5439",0.9228,-67.5439
Tirahi,Critically endangered,100.0,Indo-European,Afghanistan,"34.3139,70.3729",34.3139,70.3729
"Ute (Colorado, Southern Ute)",Severely endangered,100.0,Uto-Aztecan,United States of America,"37.115,-107.6331",37.115,-107.6331
Vehes,Severely endangered,100.0,Austronesian,Papua New Guinea,"-6.9427,146.9311",-6.9427,146.9311
Wik Ngathan,Definitely endangered,100.0,Pama–Nyungan,Australia,"-14.9561,141.8884",-14.9561,141.8884
Xokleng,Critically endangered,100.0,Macro-Ge,Brazil,"-26.5522,-49.0779",-26.5522,-49.0779
Yangkam,Critically endangered,100.0,Niger–Congo,Nigeria,"9.1048,9.8904",9.1048,9.8904
Yarawata,Severely endangered,98.0,Trans–New Guinea,Papua New Guinea,"-4.9377,145.4946",-4.9377,145.4946
O'odham (Mexico),Definitely endangered,94.0,Uto-Aztecan,Mexico,"31.5188,-112.7472",31.5188,-112.7472
Samosa,Severely endangered,94.0,Trans–New Guinea,Papua New Guinea,"-5.0116,145.5386",-5.0116,145.5386
Mindiri,Severely endangered,93.0,Austronesian,Papua New Guinea,"-5.5517,146.1538",-5.5517,146.1538
Usu,Severely endangered,93.0,Trans–New Guinea,Papua New Guinea,"-5.2851,145.4974",-5.2851,145.4974
Iteri,Severely endangered,90.0,Arai–Samaia,Papua New Guinea,"-4.0807,141.5039",-4.0807,141.5039
Ngarinyin,Definitely endangered,90.0,Worrorran,Australia,"-16.9096,125.4199",-16.9096,125.4199
Repanbitip,Definitely endangered,90.0,Austronesian,Vanuatu,"-16.3155,167.6026",-16.3155,167.6026
Tofanma,Vulnerable,90.0,Pauwasi,Indonesia,"-3.5675,140.7925",-3.5675,140.7925
Taiap,Severely endangered,89.0,Language isolate,Papua New Guinea,"-4.1,144.5",-4.1,144.5
Kusunda,Critically endangered,87.0,Dravidian,Nepal,"27.9275,84.2866",27.9275,84.2866
Patamona (Brazil),Vulnerable,87.0,Cariban,Brazil,"4.5216,-60.3808",4.5216,-60.3808
Xiri,Critically endangered,87.0,Khoe,South Africa,"-31.3924,21.0498",-31.3924,21.0498
Narau,Severely endangered,85.0,Kaure–Kosare,Indonesia,"-3.3818,139.8202",-3.3818,139.8202
Ak,Severely endangered,83.0,Sepik,Papua New Guinea,"-3.6093,141.6604",-3.6093,141.6604
Araona,Severely endangered,81.0,Pano–Tacanan,Bolivia (Plurinational State of),"-12.4473,-68.1372",-12.4473,-68.1372
Ari,Severely endangered,80.0,Papuan Gulf ?,Papua New Guinea,"-8,142.40",-8,142.40
Assiniboine (Canada),Critically endangered,80.0,Siouan,Canada,"50.3536,-103.4841",50.3536,-103.4841
Dorro,Severely endangered,80.0,Trans-Fly – Bulaka River?,Papua New Guinea,"-9.1834,141.8994",-9.1834,141.8994
Gong,Severely endangered,80.0,Sino-Tibetan,Thailand,"15.088,99.523",15.088,99.523
Itik,Vulnerable,80.0,Tor–Kwerba,Indonesia,"-2.3181,139.148",-2.3181,139.148
Mari,Severely endangered,80.0,Sepik,Papua New Guinea,"-9.0478,141.8994",-9.0478,141.8994
Pwapwa,Severely endangered,80.0,Austronesian,New Caledonia (France),"-20.8074,164.5367",-20.8074,164.5367
Somm,Definitely endangered,80.0,Trans–New Guinea,Papua New Guinea,"-6.1296,146.4642",-6.1296,146.4642
Tobati,Severely endangered,80.0,Austronesian,Indonesia,"-2.6059,140.7997",-2.6059,140.7997
Moré,Critically endangered,76.0,Chapacuran,Bolivia (Plurinational State of),"-12.0822,-64.9731",-12.0822,-64.9731
Mores,Severely endangered,75.0,Austronesian,Vanuatu,"-15.3583,166.8988",-15.3583,166.8988
Musan,Severely endangered,75.0,Arai–Samaia,Papua New Guinea,"-4.0355,141.361",-4.0355,141.361
Papi,Severely endangered,75.0,Sepik?,Papua New Guinea,"-4.5,142",-4.5,142
Sarcee,Critically endangered,75.0,Dené–Yeniseian,Canada,"50.9682,-114.3851",50.9682,-114.3851
Sekani,Critically endangered,75.0,Dené–Yeniseian,Canada,"58.0952,-122.7067",58.0952,-122.7067
Arawun,Severely endangered,73.0,Trans–New Guinea,Papua New Guinea,"-5.5093,145.8929",-5.5093,145.8929
Siriano (Brazil),Vulnerable,71.0,Tucanoan,Brazil,"0.5244,-67.5",0.5244,-67.5
Teko,Severely endangered,71.0,Mayan,Mexico,"15.6582,-92.1427",15.6582,-92.1427
Anus,Severely endangered,70.0,Austronesian,Indonesia,"-2.1268,139.5126",-2.1268,139.5126
Awera,Vulnerable,70.0,Lakes Plain,Indonesia,"-2.7084,136.0395",-2.7084,136.0395
Boruca,Critically endangered,70.0,Sino-Tibetan,Costa Rica,"9.001,-83.323",9.001,-83.323
Doutai,Severely endangered,70.0,Lakes Plain,Indonesia,"-3.2282,138.2189",-3.2282,138.2189
East Cape Yupik,Critically endangered,70.0,Eskimo–Aleut,Russian Federation,"66.0166,-169.7166",66.0166,-169.7166
Iresim,Severely endangered,70.0,Austronesian,Indonesia,"-3.6011,135.1428",-3.6011,135.1428
Mafea,Definitely endangered,70.0,Austronesian,Vanuatu,"-15.4219,167.2366",-15.4219,167.2366
Vilamovian,Severely endangered,70.0,Indo-European,Poland,"49.7909,18.762",49.7909,18.762
Western Chocho,Severely endangered,70.0,Sino-Tibetan,Mexico,"17.7486,-97.4409",17.7486,-97.4409
Yankunytjatjara,Definitely endangered,70.0,Pama–Nyungan,Australia,"-27.3132,132.0666",-27.3132,132.0666
Yanyuwa,Severely endangered,70.0,Pama–Nyungan,Australia,"-15.9613,136.3842",-15.9613,136.3842
Yapunda,Severely endangered,69.0,Torricelli,Papua New Guinea,"-3.5,142.4",-3.5,142.4
Bothar,Severely endangered,68.0,Trans-Fly – Bulaka River?,Papua New Guinea,"-9.0695,141.155",-9.0695,141.155
Kari'ña (Brazil),Definitely endangered,66.0,Cariban,Brazil,"4.0067,-51.6027",4.0067,-51.6027
Ritharrngu,Definitely endangered,66.0,Pama–Nyungan,Australia,"-13.1543,134.8242",-13.1543,134.8242
Northern Straits Salish,Critically endangered,65.0,Salishan,United States of America,"48.488,-122.6363",48.488,-122.6363
Sumariup,Severely endangered,65.0,Sepik,Papua New Guinea,"-4.7,143.3",-4.7,143.3
Ixil (Mexico),Critically endangered,64.0,Sino-Tibetan,Mexico,"19.508,-89.3188",19.508,-89.3188
Orok,Critically endangered,64.0,Tungusic,Russian Federation,"52.3437,143.0557",52.3437,143.0557
Carapana (Brazil),Severely endangered,63.0,Tucanoan,Brazil,"-3.0966,-65.061",-3.0966,-65.061
Yan-nhangu,Definitely endangered,61.0,Pama–Nyungan languages,Australia,"-12.094,134.89",-12.094,134.89
Atemble,Definitely endangered,60.0,Trans–New Guinea,Papua New Guinea,"-5.1292,144.7421",-5.1292,144.7421
Bagupi,Definitely endangered,60.0,Trans–New Guinea,Papua New Guinea,"-5.0454,145.5822",-5.0454,145.5822
Carapana (Colombia),Definitely endangered,60.0,Tucanoan,Colombia,"0.9337,-70.8178",0.9337,-70.8178
Gooniyandi,Severely endangered,60.0,Bunuban,Australia,"-18.8335,125.9912",-18.8335,125.9912
Gurrgoni,Vulnerable,60.0,Macro-Gunwinyguan,Australia,"-12.1037,134.3408",-12.1037,134.3408
Kija,Severely endangered,60.0,Jarrakan,Australia,"-18.0832,128.1884",-18.0832,128.1884
Montana Salish,Critically endangered,60.0,Salishan,United States of America,"47.5944,-114.1182",47.5944,-114.1182
Ngangikurunggurr,Severely endangered,60.0,Southern Daly?,Australia,"-14.6792,130.3967",-14.6792,130.3967
Olultecan,Severely endangered,60.0,Sino-Tibetan,Mexico,"17.9277,-94.8969",17.9277,-94.8969
Senaya,Critically endangered,60.0,Afro-Asiatic,Iran (Islamic Republic of),"36.2664,50.0042",36.2664,50.0042
Tahltan,Critically endangered,60.0,Dené–Yeniseian,Canada,"57.8451,-129.9745",57.8451,-129.9745
Tembé,Severely endangered,60.0,Tupian,Brazil,"-2.6467,-46.7248",-2.6467,-46.7248
Mosimo,Severely endangered,58.0,Trans–New Guinea,Papua New Guinea,"-4.9473,145.5551",-4.9473,145.5551
Tapayuna,Severely endangered,58.0,Macro-Ge,Brazil,"-10.5559,-53.0639",-10.5559,-53.0639
Bepour,Severely endangered,57.0,Trans–New Guinea,Papua New Guinea,"-4.586,145.4184",-4.586,145.4184
Faita,Severely endangered,57.0,Trans–New Guinea,Papua New Guinea,"-5.657,145.5001",-5.657,145.5001
Teribe (Costa Rica),Critically endangered,57.0,Chibchan,Costa Rica,"9.0593,-83.2876",9.0593,-83.2876
Kiliwa,Critically endangered,56.0,Yuman–Cochimí,Mexico,"31.25,-115.6166",31.25,-115.6166
Moere,Severely endangered,56.0,Trans–New Guinea,Papua New Guinea,"-4.6038,145.437",-4.6038,145.437
Baure,Critically endangered,55.0,Arawakan,Bolivia (Plurinational State of),"-13.1008,-64.5007",-13.1008,-64.5007
Southern Haida,Critically endangered,55.0,Language isolate (see text),Canada,"53.2697,-131.9861",53.2697,-131.9861
Tlingit (Canada),Critically endangered,55.0,Dené–Yeniseian,Canada,"60.171,-132.7395",60.171,-132.7395
Upper Tanana (United States of America),Critically endangered,55.0,Dené–Yeniseian,United States of America,"62.6867,-141.2182",62.6867,-141.2182
Zapotec of Asunción Tlacolulita,Critically endangered,53.0,Oto-Manguean,Mexico,"16.3,-95.7166",16.3,-95.7166
Trumai,Critically endangered,51.0,Language isolate,Brazil,"-11.8807,-53.6009",-11.8807,-53.6009
Arabela,Severely endangered,50.0,Zaparoan,Peru,"-1.5818,-75.3881",-1.5818,-75.3881
Arha,Critically endangered,50.0,Austronesian,New Caledonia (France),"-21.3047,165.0146",-21.3047,165.0146
Banjima,Severely endangered,50.0,Pama–Nyungan,Australia,"-22.289,119.3774",-22.289,119.3774
Bella Coola,Critically endangered,50.0,Salishan,Canada,"52.3823,-126.7255",52.3823,-126.7255
Budong-Budong,Critically endangered,50.0,Austronesian,Indonesia,"-2.0601,119.3074",-2.0601,119.3074
Bulgebi,Definitely endangered,50.0,Trans–New Guinea,Papua New Guinea,"-5.7485,146.4532",-5.7485,146.4532
Chiquitano (Brazil),Critically endangered,50.0,Language isolate,Brazil,"-17.4345,-58.0627",-17.4345,-58.0627
Forest Yukagir,Critically endangered,50.0,Yukaghir,Russian Federation,"65.4936,151.0757",65.4936,151.0757
Gorovu,Severely endangered,50.0,Trans–New Guinea,Papua New Guinea,"-4.5,144.6",-4.5,144.6
Iduh (Lao PDR),Critically endangered,50.0,Sino-Tibetan,Lao People's Democratic Republic,"19.3292,103.3758",19.3292,103.3758
Karaim (Lithuania),Severely endangered,50.0,Turkic,Lithuania,"54.642,24.9499",54.642,24.9499
Kasong,Critically endangered,50.0,Austroasiatic,"Cambodia, Thailand","12.564,102.529",12.564,102.529
Kayupulau,Critically endangered,50.0,Austronesian,Indonesia,"-2.5464,140.725",-2.5464,140.725
Lolak,Critically endangered,50.0,Austronesian,Indonesia,"0.8569,124.0081",0.8569,124.0081
Maku'a,Critically endangered,50.0,Austronesian,Timor-Leste,"-8.4017,127.2271",-8.4017,127.2271
Makurap,Severely endangered,50.0,Tupian,Brazil,"-12.1682,-63.0285",-12.1682,-63.0285
Miriwoong,Critically endangered,50.0,Jarrakan,Australia,"-16.7631,128.9025",-16.7631,128.9025
Moraori,Severely endangered,50.0,Trans–New Guinea,Indonesia,"-8.7113,140.7128",-8.7113,140.7128
Nakkara,Severely endangered,50.0,Macro-Gunwinyguan,Australia,"-12.1145,134.5825",-12.1145,134.5825
Ngarinman,Severely endangered,50.0,Pama–Nyungan,Australia,"-16.6782,129.7485",-16.6782,129.7485
Norfolk-Pitcairn (Pitcairn),Vulnerable,50.0,English Creole,Pitcairn  (U.K.),"-24.3721,-128.3203",-24.3721,-128.3203
Omaha-Ponca,Critically endangered,50.0,Siouan,United States of America,"42.0817,-96.4855",42.0817,-96.4855
Omotik,Critically endangered,50.0,Nilo-Saharan,Kenya,"-1.115,35.9143",-1.115,35.9143
Onge,Critically endangered,50.0,Ongan,India,"10.639,92.4938",10.639,92.4938
Patua,Critically endangered,50.0,Portuguese Creole,China,"22.1632,113.5464",22.1632,113.5464
Paulohi,Critically endangered,50.0,Austronesian,Indonesia,"-3.2721,128.757",-3.2721,128.757
Potawatomi (Kansas),Critically endangered,50.0,Algic,United States of America,"39.3251,-95.8495",39.3251,-95.8495
Potawatomi (Michigan),Critically endangered,50.0,Algic,United States of America,"45.0269,-84.1992",45.0269,-84.1992
Potawatomi (Oklahoma),Critically endangered,50.0,Algic,United States of America,"35.3135,-96.9255",35.3135,-96.9255
Potawatomi (Wisconsin),Critically endangered,50.0,Algic,United States of America,"45.5601,-88.83",45.5601,-88.83
Salas,Severely endangered,50.0,Austronesian,Indonesia,"-3.135,130.5505",-3.135,130.5505
Samray,Critically endangered,50.0,Austroasiatic,"Cambodia, Thailand","13.685,101.5931",13.685,101.5931
Sapé,Critically endangered,50.0,Arutani–Sape ?,Venezuela (Bolivarian Republic of),"5.0033,-63.5449",5.0033,-63.5449
Sentilese,Critically endangered,50.0,Unclassified (presumed to be Ongan),India,"11.5446,92.2576",11.5446,92.2576
Sian,Severely endangered,50.0,Austronesian,Malaysia,"2.3854,114.3354",2.3854,114.3354
Tambotalo,Severely endangered,50.0,Austronesian,Vanuatu,"-15.4655,167.1027",-15.4655,167.1027
Tanacross,Critically endangered,50.0,Dené–Yeniseian,United States of America,"64.2159,-145.9643",64.2159,-145.9643
Tanaina,Severely endangered,50.0,Dené–Yeniseian,United States of America,"63.3422,-148.8647",63.3422,-148.8647
Tanimbili,Severely endangered,50.0,Austronesian,Solomon Islands,"-11.2935,166.5211",-11.2935,166.5211
Warumungu,Severely endangered,50.0,Pama–Nyungan,Australia,"-19.5183,133.9453",-19.5183,133.9453
Zapotec of San Felipe Tejalapan,Critically endangered,50.0,Oto-Manguean,Mexico,"17.1099,-96.8539",17.1099,-96.8539
Tench,Critically endangered,49.0,Austronesian,Papua New Guinea,"-1.6394,150.6939",-1.6394,150.6939
Mudburra,Severely endangered,48.0,Pama–Nyungan,Australia,"-16.9727,131.77",-16.9727,131.77
Nunggubuyu,Severely endangered,44.0,Macro-Pama-Nyungan?,Australia,"-13.8807,135.725",-13.8807,135.725
Dumun,Critically endangered,42.0,Trans–New Guinea,Papua New Guinea,"-5.5421,146.0906",-5.5421,146.0906
Kudu-Camo,Critically endangered,42.0,Niger–Congo,Nigeria,"11.0166,8.8879",11.0166,8.8879
Asumboa,Severely endangered,40.0,Austronesian,Solomon Islands,"-11.2982,166.4868",-11.2982,166.4868
Bunuba,Severely endangered,40.0,Bunuban,Australia,"-17.8951,125.7495",-17.8951,125.7495
Chamacoco,Critically endangered,40.0,Zamucoan,"Brazil, Paraguay","-23.0595,-55.6127",-23.0595,-55.6127
Garrwa,Severely endangered,40.0,Garrwan,Australia,"-17.1197,137.6806",-17.1197,137.6806
Gumbaynggirr,Critically endangered,40.0,Pama–Nyungan,Australia,"-30.3349,152.8198",-30.3349,152.8198
Maremgi,Definitely endangered,40.0,Tor–Kwerba,Indonesia,"-2.2571,139.5455",-2.2571,139.5455
Mono (Western),Critically endangered,40.0,Uto-Aztecan,United States of America,"37.0943,-119.4999",37.0943,-119.4999
Southern Tutchone,Critically endangered,40.0,Dené–Yeniseian,Canada,"60.7796,-137.4983",60.7796,-137.4983
Tipai (United States of America),Severely endangered,40.0,Yuman,United States of America,"32.6049,-116.4678",32.6049,-116.4678
Tofa,Critically endangered,40.0,Turkic,Russian Federation,"53.7324,98.2589",53.7324,98.2589
Udege,Critically endangered,40.0,Tungusic,Russian Federation,"47.6209,136.0903",47.6209,136.0903
Yoki,Severely endangered,40.0,East Geelvink Bay?,Indonesia,"-1.5893,137.9127",-1.5893,137.9127
Noy,Critically endangered,36.0,Niger–Congo,Chad,"8.9312,17.8829",8.9312,17.8829
Chulym Turk,Critically endangered,35.0,Turkic,Russian Federation,"57.3354,88.1542",57.3354,88.1542
Kapori,Critically endangered,35.0,North Papuan?,Indonesia,"-3.4,139.7",-3.4,139.7
Kaqchikel (Mexico),Critically endangered,35.0,Sino-Tibetan,Mexico,"19.4044,-90.0604",19.4044,-90.0604
Menominee,Critically endangered,35.0,Algic,United States of America,"44.9356,-88.6144",44.9356,-88.6144
Quechua of Pacaraos,Critically endangered,35.0,Quechua,Peru,"-11.2538,-76.8054",-11.2538,-76.8054
Turaka,Critically endangered,35.0,Trans–New Guinea,Papua New Guinea,"-9.796,149.447",-9.796,149.447
Barasana (Brazil),Severely endangered,34.0,Tucanoan,Brazil,"0.7909,-68.6425",0.7909,-68.6425
Bilakura,Critically endangered,34.0,Trans–New Guinea,Papua New Guinea,"-4.9404,145.5303",-4.9404,145.5303
Macuna (Brazil),Vulnerable,32.0,Tucanoan,Brazil,"1.1395,-67.7636",1.1395,-67.7636
Jarawa,Critically endangered,31.0,Indo-European,India,"12.6028,92.752",12.6028,92.752
Kowaki,Critically endangered,31.0,Dené–Yeniseian,Papua New Guinea,"-4.6079,145.4067",-4.6079,145.4067
Kri,Severely endangered,31.0,Sino-Tibetan,Lao People's Democratic Republic,"18.25,105",18.25,105
Mawak,Critically endangered,31.0,Trans–New Guinea,Papua New Guinea,"-4.5819,145.3079",-4.5819,145.3079
Alabat Island Agta,Critically endangered,30.0,Austronesian,Philippines,"14.1209,122.0282",14.1209,122.0282
Amahai,Critically endangered,30.0,Austronesian,Indonesia,"-3.3352,128.9314",-3.3352,128.9314
Bardi,Severely endangered,30.0,Nyulnyulan,Australia,"-16.9307,122.871",-16.9307,122.871
