Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Legenyem,Definitely endangered,250,Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"-.3186,130.7345",-.3186,130.7345
Lehali,Definitely endangered,250,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-13.50, 167.33",-13.50, 167.33
Lehar,Vulnerable,"5,000-10,000",Niger-Congo; Atlantic-Congo; North Atlantic,Senegal ,"14.951791, -16.818728",14.951791, -16.818728
Lelak,Definitely endangered,220,Austronesian; Malayo-Polynesian; North Borneo; North Sarawakan,Malaysia ,"4.11426, 114.029",4.11426, 114.029
Lemolang,Vulnerable,"2,000",Austronesian; Malayo-Polynesian; South Sulawesi,Indonesia ,"-2.6303,120.1849",-2.6303,120.1849
Lendamboi,Definitely endangered,800,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.43, 167.57",-16.43, 167.57
Lengilu,Critically endangered,4,Austronesian; Malayo-Polynesian; North Borneo; North Sarawakan,Indonesia ,"3.7327,115.8728",3.7327,115.8728
Lenkau,Definitely endangered,250,Austronesian; Malayo-Polynesian; Oceanic; Admiralty Islands,Papua New Guinea ,"-2.33, 147.74",-2.33, 147.74
Lepcha,Severely endangered,A few thousand,Sino-Tibetan,India Nepal Bhutan ,"27.1666666667,88.5",27.1666666667,88.5
Lepki,Definitely endangered,530,Unclassified; Lepki-Murkim-Kembra?,Indonesia ,"-4.11, 140.46",-4.11, 140.46
Lhokpu,Vulnerable,"2,500",Sino-Tibetan,Bhutan ,"27.045, 89.053",27.045, 89.053
Lhomi,Vulnerable,"3,130",Sino-Tibetan; Bodish,India Nepal China ,"27.6666666667, 87.4166666667",27.6666666667, 87.4166666667
Liabuku,Severely endangered,75,Austronesian; Malayo-Polynesian; Celebic; Muna-Buton,Indonesia ,"-5.32, 122.70",-5.32, 122.70
Liangmai Naga,Vulnerable,"34,232",Sino-Tibetan; Zemeic,India ,"25.2794,93.6694",25.2794,93.6694
Liki,Severely endangered,11,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Indonesia ,"-1.6202,138.738",-1.6202,138.738
Likum,Severely endangered,80,Austronesian; Malayo-Polynesian; Oceanic; Admiralty Islands,Papua New Guinea ,"-2.1651,146.6921",-2.1651,146.6921
Lilau,Definitely endangered,410,Torricelli; Bogia,Papua New Guinea ,"-4.35, 144.99",-4.35, 144.99
Limbu,Vulnerable,"300,000",Sino-Tibetan; Kiranti,India Nepal ,"27.1666666667,87.75",27.1666666667,87.75
Limilngan,Critically endangered,3,Limilngan,Australia ,"-12.47762877,131.8581747",-12.47762877,131.8581747
Limousin,Vulnerable,"400,000",Indo-European; Italic; Romance; Western Romance,France ,"46.0579, 1.8017",46.0579, 1.8017
Lisela,Vulnerable,"11,900",Austronesian; Malayo-Polynesian; Central Maluku; West Central Maluku,Indonesia ,"-3.2392,127.0239",-3.2392,127.0239
Lishana Deni,Vulnerable,"7,500",Afro-Asiatic; Semitic; Aramaic,Israel Iraq ,"37.083700, 42.405488",37.083700, 42.405488
Litzlitz,Critically endangered,15-20,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.114, 167.439",-16.114, 167.439
Livvi,Definitely endangered,"~27,000",Uralic; Finnic,Russia Finland ,"61.1273,32.8765",61.1273,32.8765
